Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Rafael Devers*,28,2TM,2LG,2.9,126,568,471,70,121,28,0,24,82,1,1,87,148,.257,.377,.469,.846,138,.366,139,221,12,6,0,4,8,*D3,,deverra01
1,Rafael Devers*,28,BOS,AL,2.3,73,334,272,47,74,18,0,15,58,1,1,56,76,.272,.401,.504,.905,151,.388,153,137,7,4,0,2,7,D,,deverra01
1,Rafael Devers*,28,SFG,NL,0.7,53,234,199,23,47,10,0,9,24,0,0,31,72,.236,.342,.422,.764,121,.335,120,84,5,2,0,2,1,D3,,deverra01
2,Shohei Ohtani*,30,LAD,NL,5.5,123,567,478,118,136,16,8,43,81,17,6,83,151,.285,.392,.621,1.014,179,.424,175,297,6,3,0,2,16,*D/1,AS,ohtansh01
3,Julio Rodríguez,24,SEA,AL,5.3,125,562,518,81,135,23,4,24,69,23,5,32,127,.261,.315,.459,.774,121,.346,127,238,12,10,0,2,1,*8/DH,AS,rodriju01
4,Matt Olson*,31,ATL,NL,4.4,125,560,479,69,128,32,0,19,72,1,0,75,135,.267,.366,.453,.819,129,.359,128,217,11,2,0,4,2,*3,AS,olsonma02
5,Trea Turner,32,PHI,NL,4.1,123,558,511,83,151,28,4,13,57,28,7,40,92,.295,.351,.442,.794,116,.359,118,226,9,5,0,2,1,*6/DH,,turnetr01
6,Geraldo Perdomo#,25,ARI,NL,4.6,125,556,460,74,132,26,3,13,80,21,4,76,60,.287,.388,.441,.829,129,.373,132,203,6,6,4,10,1,*6/H,,perdoge01
7,Kyle Schwarber*,32,PHI,NL,4.0,125,556,465,86,116,19,1,43,103,10,2,82,151,.249,.372,.572,.944,154,.404,153,266,2,9,0,0,5,*D/7,AS,schwaky01
8,Bo Bichette,27,TOR,AL,2.5,123,555,519,64,154,37,1,16,82,4,3,31,82,.297,.339,.464,.803,119,.349,122,241,16,3,0,2,2,*6/DH,,bichebo01
9,Francisco Lindor#,31,NYM,NL,3.5,122,554,495,82,128,25,0,24,71,20,3,41,105,.259,.327,.455,.781,122,.345,120,225,8,12,0,6,2,*6/DH,AS,lindofr01
10,Jarren Duran*,28,BOS,AL,3.8,123,550,490,71,129,34,12,12,69,20,5,46,131,.263,.337,.455,.792,118,.354,124,223,5,10,1,3,1,*78/H9D,,duranja01
11,Brent Rooker,30,ATH,AL,2.4,126,549,491,80,135,30,3,25,72,5,1,52,119,.275,.349,.501,.850,132,.365,134,246,12,4,0,1,3,*D9/7H,AS,rookebr01
12,Elly De La Cruz#,23,CIN,NL,3.4,126,545,488,87,134,25,4,19,76,31,6,54,137,.275,.349,.459,.808,117,.357,113,224,12,2,0,1,10,*6/DH,AS,delacel01
13,Vladimir Guerrero Jr.,26,TOR,AL,4.6,124,545,466,83,139,30,0,21,69,5,2,71,77,.298,.396,.498,.894,146,.384,147,232,12,6,0,2,7,*3D/H,AS,guerrvl02
14,Fernando Tatis Jr.,26,SDP,NL,5.1,122,544,466,84,123,23,2,17,50,24,6,71,100,.264,.368,.431,.799,122,.363,126,201,4,6,0,1,7,*9/D,AS,tatisfe02
15,Cal Raleigh#,28,SEA,AL,5.7,123,543,462,82,115,18,0,47,102,14,3,73,145,.249,.355,.593,.949,169,.394,165,274,6,5,0,3,12,*2D/H,AS,raleica01
16,Randy Arozarena,30,SEA,AL,3.9,124,542,466,73,113,24,1,23,58,24,3,52,144,.242,.343,.446,.790,127,.353,131,208,7,21,0,3,2,*7/D,AS,arozara01
17,Heliot Ramos,25,SFG,NL,1.2,123,542,480,64,128,21,1,15,53,6,4,43,127,.267,.339,.408,.748,116,.327,115,196,10,13,0,6,2,*7/DH,,ramoshe02
18,Juan Soto*,26,NYM,NL,4.7,122,538,434,87,109,16,0,30,71,20,1,96,104,.251,.385,.495,.881,152,.396,156,215,15,2,1,5,11,*9/D,,sotoju01
19,Pete Alonso,30,NYM,NL,3.0,124,537,466,64,125,31,1,28,100,1,2,51,123,.268,.352,.519,.871,147,.371,144,242,19,13,0,7,4,*3/D,AS,alonspe01
20,Manny Machado,32,SDP,NL,3.6,125,536,482,71,140,30,0,20,72,11,3,46,96,.290,.353,.477,.830,128,.360,126,230,14,3,0,5,2,*5D,AS,machama01
21,Bobby Witt Jr.,25,KCR,AL,5.2,123,536,481,78,140,38,4,17,67,32,7,43,104,.291,.351,.493,.843,133,.367,132,237,3,5,0,7,7,*6/D,AS,wittbo02
22,James Wood*,22,WSN,NL,3.6,122,535,461,70,119,27,0,25,80,15,5,68,160,.258,.355,.479,.835,136,.364,135,221,7,3,0,3,8,*7D/H,AS,woodja03
23,Kyle Tucker*,28,CHC,NL,4.1,121,533,445,79,116,21,4,18,62,25,2,79,77,.261,.374,.447,.821,139,.370,140,199,7,3,1,3,7,*9D/H,AS,tuckeky01
24,Willy Adames,29,SFG,NL,1.5,124,531,464,73,103,18,2,19,62,6,2,57,141,.222,.308,.392,.700,102,.310,102,182,9,3,0,6,1,*6/D,,adamewi01
25,Ozzie Albies#,28,ATL,NL,1.3,125,531,477,53,108,16,1,10,48,11,1,47,83,.226,.299,.327,.626,77,.291,78,156,7,4,0,3,1,*4,,albieoz01
26,Taylor Ward,31,LAA,AL,3.0,123,531,465,70,110,28,2,29,91,3,1,58,141,.237,.320,.492,.813,122,.350,124,229,8,2,0,6,1,*7/D,,wardta01
27,J.P. Crawford*,30,SEA,AL,3.1,122,527,454,54,120,18,0,9,44,7,1,63,97,.264,.357,.363,.720,110,.323,113,165,8,3,6,1,1,*6/H,,crawfjp01
28,TJ Friedl*,29,CIN,NL,2.2,118,527,446,70,119,18,2,10,39,11,3,59,86,.267,.367,.383,.751,105,.346,110,171,5,14,4,4,0,*8/HD,,friedtj01
29,Luis Arráez*,28,SDP,NL,1.1,119,526,485,52,141,26,4,6,46,7,2,26,15,.291,.326,.398,.724,100,.320,97,193,8,2,8,5,0,*3D/4H,,arraelu01
30,Nolan Schanuel*,23,LAA,AL,1.7,121,525,453,61,123,22,1,10,49,5,1,56,66,.272,.360,.391,.751,110,.334,111,177,9,9,3,4,4,*3,,schanno01
31,Marcus Semien,34,TEX,AL,3.2,124,524,461,61,105,16,1,15,61,11,1,49,91,.228,.303,.364,.668,95,.301,97,168,8,5,0,9,0,*4,,semiema01
32,Steven Kwan*,27,CLE,AL,3.3,118,523,471,63,132,22,1,10,40,14,2,42,46,.280,.339,.395,.734,103,.326,101,186,3,3,1,6,1,*7/D8,AS,kwanst01
33,Yandy Díaz,33,TBR,AL,2.2,118,521,470,59,133,22,1,20,71,3,0,40,76,.283,.344,.462,.805,123,.348,123,217,10,6,0,5,3,*D3,,diazya01
34,Vinnie Pasquantino*,27,KCR,AL,1.0,123,521,475,49,122,20,1,23,82,1,0,37,84,.257,.317,.448,.765,111,.332,111,213,11,6,0,3,4,*3D,,pasquvi01
35,William Contreras,27,MIL,NL,3.3,118,520,445,69,116,22,0,13,61,6,3,69,95,.261,.360,.398,.757,113,.343,118,177,9,2,0,4,4,*2D/37,,contrwi02
36,José Ramírez#,32,CLE,AL,4.9,121,518,458,79,133,23,2,25,64,36,7,49,54,.290,.363,.513,.876,139,.379,137,235,3,6,0,5,18,*5D,AS,ramirjo01
37,Seiya Suzuki,30,CHC,NL,2.2,119,517,460,62,115,27,3,27,86,3,2,51,133,.250,.321,.498,.819,135,.353,134,229,11,0,0,6,1,*D97/8H,,suzukse01
38,Jose Altuve,35,HOU,AL,1.1,121,516,463,68,130,18,1,22,64,9,6,46,83,.281,.345,.467,.811,123,.345,121,216,13,2,0,5,5,74D,,altuvjo01
39,Riley Greene*,24,DET,AL,2.4,123,513,475,65,126,26,1,29,92,1,1,33,163,.265,.314,.507,.821,123,.349,123,241,11,2,0,3,1,*7D8/H9,AS,greenri03
40,Maikel Garcia,25,KCR,AL,4.2,123,510,457,59,138,32,5,12,56,22,9,45,67,.302,.363,.473,.836,132,.359,131,216,11,1,3,4,0,*564/8DH9,AS,garcima01
41,Bryan Reynolds#,30,PIT,NL,0.4,119,509,467,46,113,27,3,13,62,3,2,36,138,.242,.299,.396,.695,93,.307,92,185,13,3,0,3,1,*9D/H,,reynobr01
42,Mookie Betts,32,LAD,NL,2.7,115,507,451,75,109,17,1,13,57,8,2,46,55,.242,.312,.370,.682,91,.305,88,167,10,3,0,7,2,*6/H9,,bettsmo01
43,Aaron Judge,33,NYY,AL,6.9,114,506,412,96,137,25,2,39,91,7,3,85,129,.333,.447,.687,1.134,210,.457,208,283,12,4,0,5,29,9D/H,AS,judgeaa01
44,Spencer Torkelson,25,DET,AL,2.4,121,506,436,68,106,24,0,26,67,2,1,56,127,.243,.338,.477,.815,123,.345,120,208,11,9,0,5,5,*3D/H,,torkesp01
45,Eugenio Suárez,33,2TM,2LG,2.7,123,506,451,72,105,21,0,38,94,3,1,32,142,.233,.302,.532,.835,127,.361,128,240,8,16,0,7,1,*5/DH3,AS,suareeu01
45,Eugenio Suárez,33,ARI,NL,3.3,106,437,387,64,96,19,0,36,87,1,0,29,117,.248,.320,.576,.897,142,.387,145,223,7,15,0,6,1,*5/DH3,,suareeu01
45,Eugenio Suárez,33,SEA,AL,-0.5,17,69,64,8,9,2,0,2,7,2,1,3,25,.141,.188,.266,.454,30,.196,22,17,1,1,0,1,0,5,,suareeu01
46,Pete Crow-Armstrong*,23,CHC,NL,6.4,121,505,467,76,121,32,4,27,79,30,6,22,122,.259,.300,.518,.818,133,.360,133,242,1,7,5,4,0,*8/H,AS,crowape01
47,Brandon Nimmo*,32,NYM,NL,3.0,120,505,451,61,114,23,0,20,67,12,1,42,110,.253,.323,.437,.760,117,.338,116,197,6,7,1,4,1,*7/D8H,,nimmobr01
48,Xander Bogaerts,32,SDP,NL,2.1,123,504,448,58,119,28,0,10,43,19,2,47,80,.266,.334,.395,.729,102,.326,97,177,10,2,1,6,3,*6/DH,,bogaexa01
49,Ian Happ#,30,CHC,NL,2.1,113,504,434,65,99,21,0,16,56,5,3,65,112,.228,.327,.387,.714,108,.319,110,168,6,1,0,4,1,*7/DH,,happia01
50,Christian Yelich*,33,MIL,NL,2.6,117,504,449,71,119,14,0,25,86,15,5,49,137,.265,.343,.463,.807,125,.356,126,208,5,5,0,1,4,*D7/H,,yelicch01
51,Junior Caminero,21,TBR,AL,3.1,119,503,466,72,120,21,0,35,85,5,1,28,105,.258,.298,.528,.826,125,.358,130,246,26,2,0,7,1,*5/DH3,AS,caminju01
52,Jackson Holliday*,21,BAL,AL,0.6,117,503,464,56,115,16,2,15,48,11,9,33,114,.248,.304,.388,.692,94,.305,97,180,3,5,0,1,0,*4/6DH,,hollija01
53,Lawrence Butler*,24,ATH,AL,1.9,119,502,453,67,105,26,2,17,48,17,5,47,145,.232,.304,.411,.715,96,.315,95,186,4,0,2,0,0,*98/H,,butlela01
54,Trevor Story,32,BOS,AL,3.2,122,502,470,70,122,21,0,19,79,22,0,25,142,.260,.303,.426,.729,100,.327,100,200,2,5,1,1,0,*6/HD,,storytr01
55,Brice Turang*,25,MIL,NL,4.0,119,501,447,74,125,23,0,13,60,21,8,46,113,.280,.345,.418,.763,114,.343,116,187,2,1,2,5,1,*4/H6,,turanbr02
56,Dansby Swanson,31,CHC,NL,3.1,121,500,462,67,115,16,2,18,57,10,3,32,136,.249,.295,.409,.704,103,.315,105,189,5,0,1,5,1,*6,,swansda01
57,Tyler Soderstrom*,23,ATH,AL,2.4,125,499,447,61,118,23,1,22,73,6,2,45,113,.264,.337,.468,.804,120,.344,118,209,15,5,0,2,1,73/HD,,soderty01
58,Nick Castellanos,33,PHI,NL,-0.9,121,497,466,61,119,24,1,16,61,4,0,24,107,.255,.294,.414,.708,91,.314,89,193,11,3,0,4,0,*9/D,,casteni01
59,Christian Walker,34,HOU,AL,-0.4,118,497,447,52,106,20,1,16,65,1,1,37,131,.237,.306,.394,.700,93,.308,93,176,10,9,0,4,1,*3/D,,walkech02
60,Lourdes Gurriel Jr.,31,ARI,NL,0.0,116,496,454,44,112,23,2,16,66,10,4,29,69,.247,.296,.412,.708,94,.314,93,187,11,6,0,7,0,*7/DH,,gurrilo01
61,Jung Hoo Lee*,26,SFG,NL,1.3,119,495,447,60,116,28,10,6,46,10,2,39,52,.260,.323,.407,.730,111,.326,112,182,2,5,0,4,0,*8/HD,,leeju01
62,Salvador Perez,35,KCR,AL,0.1,119,495,463,42,113,29,0,22,70,0,0,21,100,.244,.288,.449,.737,102,.315,100,208,12,8,0,1,4,23D,,perezsa02
63,Michael Harris II*,24,ATL,NL,2.1,123,494,470,43,122,21,6,15,66,14,5,13,96,.260,.280,.426,.705,95,.305,90,200,7,2,4,5,1,*8/H,,harrimi04
64,Gunnar Henderson*,24,BAL,AL,4.1,118,494,441,70,124,29,5,15,57,16,4,46,109,.281,.352,.472,.824,130,.360,132,208,7,4,0,3,4,*6/DH,,hendegu01
65,Corbin Carroll*,24,ARI,NL,3.7,109,492,438,82,110,22,14,27,64,16,4,44,120,.251,.327,.550,.877,137,.376,135,241,3,7,0,3,1,*9/8DH,AS,carroco02
66,Nico Hoerner,28,CHC,NL,4.7,120,492,454,60,132,20,3,4,48,22,3,29,36,.291,.339,.374,.714,109,.331,113,170,2,6,0,3,1,*4/6,,hoernni01
67,Jonathan India,28,KCR,AL,0.1,114,492,433,53,103,26,0,8,40,0,4,45,85,.238,.324,.353,.677,90,.302,93,153,8,11,1,2,0,47D5/H,,indiajo01
68,Nathaniel Lowe*,29,2TM,2LG,-0.3,120,491,440,51,95,17,2,16,68,1,0,48,130,.216,.293,.373,.666,89,.298,89,164,5,1,0,2,0,*3/DH,,lowena01
68,Nathaniel Lowe*,29,BOS,AL,0.1,1,1,0,1,0,0,0,0,0,0,0,1,0,,1.000,,,,.686,373,0,0,0,0,0,0,/H,,lowena01
68,Nathaniel Lowe*,29,WSN,NL,-0.4,119,490,440,50,95,17,2,16,68,1,0,47,130,.216,.292,.373,.665,88,.297,88,164,5,1,0,2,0,*3/DH,,lowena01
69,Xavier Edwards#,25,MIA,NL,2.9,108,489,443,61,134,20,4,2,34,23,7,40,65,.302,.360,.379,.739,105,.333,104,168,6,1,3,2,2,46/DH,,edwarxa01
70,Anthony Volpe,24,NYY,AL,1.8,123,489,438,54,94,25,4,18,65,15,7,40,115,.215,.283,.413,.696,91,.299,87,181,9,4,1,6,0,*6/H,,volpean01
71,Andy Pages,24,LAD,NL,3.3,121,488,450,53,124,20,1,20,70,12,5,26,102,.276,.322,.458,.779,116,.337,112,206,5,7,0,5,0,*897,,pagesan01
72,Cody Bellinger*,29,NYY,AL,3.4,114,487,443,66,118,20,5,22,72,10,2,37,63,.266,.320,.483,.803,120,.344,118,214,7,1,0,6,1,*798/3H,,bellico01
73,CJ Abrams*,24,WSN,NL,3.5,109,486,441,75,119,27,5,16,49,26,3,30,85,.270,.332,.463,.795,124,.360,126,204,4,12,1,2,1,*6/H,,abramcj01
74,Gleyber Torres,28,DET,AL,1.8,112,481,409,63,106,18,0,13,58,4,1,62,70,.259,.358,.399,.756,110,.342,116,163,11,4,0,6,0,*4D/H,AS,torregl01
75,Marcell Ozuna,34,ATL,NL,1.9,114,479,389,52,92,12,0,20,60,0,0,80,107,.237,.366,.422,.788,121,.357,128,164,8,3,0,6,2,*D/H,,ozunama01
76,Josh Naylor*,28,2TM,2LG,1.7,114,479,427,61,122,23,1,15,69,22,2,42,67,.286,.351,.450,.800,122,.360,123,192,14,3,0,4,4,*3D/H,,naylojo01
76,Josh Naylor*,28,ARI,NL,0.8,93,394,349,49,102,19,1,11,59,11,2,37,49,.292,.360,.447,.807,122,.357,121,156,14,2,0,4,4,3D/H,,naylojo01
76,Josh Naylor*,28,SEA,AL,0.9,21,85,78,12,20,4,0,4,10,11,0,5,18,.256,.310,.462,.771,120,.374,129,36,0,1,0,0,0,3,,naylojo01
77,Ryan McMahon*,30,2TM,2LG,1.9,121,478,414,50,92,19,1,17,43,2,1,60,148,.222,.322,.396,.718,93,.316,89,164,5,2,0,2,1,*5/HD,,mcmahry01
77,Ryan McMahon*,30,COL,NL,1.3,100,401,350,42,76,15,1,16,35,2,1,49,127,.217,.314,.403,.717,91,.315,87,141,4,1,0,1,1,*5/HD,,mcmahry01
77,Ryan McMahon*,30,NYY,AL,0.6,21,77,64,8,16,4,0,1,8,0,0,11,21,.250,.364,.359,.723,103,.324,105,23,1,1,0,1,0,5/H,,mcmahry01
78,Willson Contreras,33,STL,NL,1.8,115,477,415,58,107,29,0,16,66,4,0,39,117,.258,.345,.443,.788,121,.347,120,184,13,18,1,4,1,*3D,,contrwi01
79,Brendan Donovan*,28,STL,NL,2.2,110,476,423,57,118,25,0,9,45,3,2,40,63,.279,.348,.402,.750,112,.329,109,170,4,7,2,4,3,*47/6DH,AS,donovbr01
80,Freddie Freeman*,35,LAD,NL,2.3,112,475,419,60,126,31,1,15,69,4,2,47,107,.301,.373,.487,.860,139,.375,140,204,10,4,0,5,5,*3/H,AS,freemfr01
81,Adolis García,32,TEX,AL,2.0,116,473,438,46,98,24,0,16,64,10,4,24,122,.224,.266,.388,.655,89,.285,88,170,7,4,0,7,0,*9/DH,,garciad02
82,Masyn Winn,23,STL,NL,2.5,113,473,434,63,113,26,0,9,46,7,5,31,84,.260,.314,.382,.697,96,.306,94,166,9,4,2,2,0,*6/H,,winnma01
83,Jackson Chourio,21,MIL,NL,2.3,106,472,445,71,123,29,4,17,67,18,7,22,95,.276,.311,.474,.786,117,.344,117,211,10,2,0,3,1,*879/D,,chourja01
84,Ernie Clement,29,TOR,AL,3.0,124,472,437,65,123,24,2,9,40,3,3,21,52,.281,.315,.407,.723,98,.311,94,178,10,3,6,5,1,5463/H,,clemeer01
85,Miguel Vargas,25,CHW,AL,1.2,112,466,416,59,96,26,2,13,45,4,0,42,79,.231,.307,.397,.704,96,.308,94,165,7,5,0,3,0,53/DH,,vargami01
86,Zach Neto,24,LAA,AL,4.3,106,464,424,74,114,26,1,21,54,22,9,27,119,.269,.325,.483,.809,122,.347,121,205,5,10,0,3,4,*6/H,,netoza01
87,Matt McLain,25,CIN,NL,0.1,113,462,409,57,90,13,0,11,40,16,1,43,127,.220,.299,.333,.632,72,.294,69,136,6,5,1,4,0,*4/6DH,,mclaima01
88,Spencer Steer,27,CIN,NL,0.5,116,462,417,52,100,17,2,15,59,6,1,38,103,.240,.308,.398,.706,90,.315,88,166,11,4,1,2,0,*3D/7H9,,steersp01
89,Kyle Stowers*,27,MIA,NL,3.5,117,457,399,61,115,21,3,25,73,5,1,48,125,.288,.368,.544,.912,149,.392,148,217,6,5,1,4,3,*79H8/D,AS,stoweky01
90,Oneil Cruz*,26,PIT,NL,0.9,108,454,392,58,81,17,2,18,51,34,4,54,145,.207,.304,.398,.702,95,.323,93,156,6,3,0,5,4,*8/HD,,cruzon01
91,Jordan Beck,24,COL,NL,0.8,112,452,411,54,112,22,5,14,44,14,8,36,126,.273,.336,.453,.789,109,.348,112,186,8,4,0,1,0,*7/DH8,,beckjo01
92,Otto López,26,MIA,NL,2.9,109,452,410,52,98,17,0,11,56,11,6,38,64,.239,.308,.361,.668,85,.308,90,148,5,3,0,1,2,64/DH,,lopezot01
93,Ceddanne Rafaela,24,BOS,AL,3.7,120,451,420,66,106,25,3,14,52,18,4,21,87,.252,.295,.426,.721,98,.314,94,179,6,5,3,2,0,*84/H,,rafaece01
94,Sal Frelick*,25,MIL,NL,2.8,108,450,398,60,118,14,3,9,47,18,4,35,57,.296,.361,.415,.776,118,.347,117,165,1,7,3,3,0,*98/H35,,frelisa01
95,Josh Smith*,27,TEX,AL,2.6,113,450,399,60,104,21,2,9,30,9,3,41,76,.261,.338,.391,.729,113,.328,119,156,2,6,3,1,2,653DH/7948,,smithjo11
96,Ke'Bryan Hayes,28,2TM,NL,1.3,117,450,424,40,100,12,3,4,41,10,2,21,89,.236,.278,.307,.585,63,.269,61,130,8,4,1,0,1,*5/H,,hayeske01
96,Ke'Bryan Hayes,28,PIT,NL,1.2,100,392,369,34,87,10,2,2,36,10,2,18,81,.236,.279,.290,.569,60,.265,59,107,8,4,1,0,1,*5/H,,hayeske01
96,Ke'Bryan Hayes,28,CIN,NL,0.2,17,58,55,6,13,2,1,2,5,0,0,3,8,.236,.276,.418,.694,85,.299,78,23,0,0,0,0,0,5,,hayeske01
97,Austin Riley,28,ATL,NL,1.4,102,447,416,54,108,20,1,16,54,2,1,27,128,.260,.309,.428,.737,105,.322,103,178,9,3,0,1,1,*5,,rileyau01
98,Yainer Diaz,26,HOU,AL,1.3,111,446,425,44,107,16,1,17,53,1,1,16,76,.252,.280,.414,.694,90,.302,88,176,12,2,0,3,2,*2D/H,,diazya02
99,Wyatt Langford,23,TEX,AL,3.6,104,446,392,53,95,18,0,17,50,16,6,48,122,.242,.327,.418,.746,117,.329,119,164,7,3,0,3,3,*78,,langfwy01
100,Michael Busch*,27,CHC,NL,3.1,118,445,395,55,102,16,3,24,68,4,0,40,110,.258,.339,.496,.836,140,.369,144,196,1,9,0,1,1,*3H/D,,buschmi02
101,Hunter Goodman,25,COL,NL,2.6,110,444,412,59,113,21,4,25,69,1,2,27,117,.274,.324,.527,.851,123,.367,125,217,14,4,0,1,0,2D/H,AS,goodmhu01
102,Carlos Santana#,39,CLE,AL,1.1,112,443,384,47,87,9,0,11,51,7,0,52,80,.227,.321,.336,.656,82,.300,82,129,7,3,0,4,1,*3D/H5,,santaca01
103,Jo Adell,26,LAA,AL,0.5,118,442,403,47,92,15,1,26,76,3,1,27,115,.228,.291,.464,.755,106,.326,106,187,6,9,0,1,0,*89/H,,adelljo01
